ppt,nLL,AIC,specificity,determinism
0,7.481333078606694,18.962666157213388,76.98904600639467,2.708050175685144
1,21.729371473967777,47.458742947935555,3.5253716872354436e-08,4483117.034829571
2,19.012160727194825,42.02432145438965,158.881539304313,0.9382696386546899
3,4.4499455505517105,12.899891101103421,303.7875436783186,3.433987222394798
4,-0.0,4.0,2.15235084006094,24.591167663613298
5,-0.0,4.0,2.6857004852183,72.37390439165243
6,11.445315704270755,26.89063140854151,1.4266844934235156e-07,4307111.644520943
7,6.686993756667055,17.37398751333411,3.468429741554062,1.7200210749914568
8,19.999892965798864,43.99978593159773,3.544127619179172,0.6240414762804892
9,22.141731450735136,48.28346290147027,4.7022278946907064e-08,552900.5879432181
10,16.759109229462545,37.51821845892509,6.258649889279859,1.0423974165115262
11,12.994907681147101,29.989815362294202,1.3847524929747086,1.2581115307527033
12,-0.0,4.0,2.6857004852183,72.37390439165243
13,15.44248208566438,34.88496417132876,291.94840772515016,1.4663370602078796
14,7.278919036579494,18.55783807315899,2.308312281608305,1.2237965924223888
15,21.707887464365157,47.415774928730315,4.0678807174825586e-08,6933959.227691767
16,4.449945550551711,12.899891101103423,305.7805298072197,3.433987185261508
17,-0.0,4.0,2.6857004852183,72.37390439165243
18,6.99311457573023,17.98622915146046,1.2841345959774306,1.9102495775531525
19,3.3941877942779692,10.788375588555938,4.195581770145686,2.489432202486852
20,20.95617541411193,45.91235082822386,4.064160689006856e-08,7055062.551258982
21,20.591729696617286,45.18345939323457,358.6160890325219,0.6466271693713448
22,9.956132953979168,23.912265907958336,295.999732289549,2.268683542263566
23,4.101310553621568,12.202621107243136,1.2380719677003616e-07,13208521.125117628
24,22.180709777918246,48.36141955583649,2.732940332771486e+29,2.451458119025275e-16
25,13.207184793306002,30.414369586612004,4.337248084459682,1.0251441932821959
26,7.487395863548924,18.97479172709785,7.023226776288525,1.9419344030599108
27,11.343408534885647,26.686817069771294,1.184784000620583e-07,14877476.10739741
28,-0.0,4.0,2.6857004852183,72.37390439165243
29,12.056645160205974,28.11329032041195,78.06407367830137,1.9459101540722687
30,7.361910164921035,18.72382032984207,13.390114310181174,2.534913846628598
31,3.4636188043476124,10.927237608695226,9.914820712447755e-08,20952411.718544096
32,9.956132953979168,23.912265907958336,298.2954746884752,2.2686835420307596
33,13.868763945303858,31.737527890607716,153.2996580947457,1.6863989595415552
34,2.5450338658401686,9.090067731680337,1.3045599183790962e-07,26265572.48767098
35,7.481333078606693,18.962666157213384,328.60822820916604,2.70805017906162
36,22.1020529523724,48.2041059047448,14.840758226224557,0.1486621310436627
37,22.180709777918246,48.36141955583649,114.27410853475908,1.7973076936285114e-13
38,17.138924869018915,38.27784973803783,7.975625718358445e-08,4516751.148969334
39,-0.0,4.0,2.6857004852183,72.37390439165243
40,19.01216072719483,42.02432145438966,139.99945992834319,0.9382696315990018
41,-0.0,4.0,2.6857004852183,72.37390439165243
42,22.180709777918246,48.36141955583649,1187734.5389721459,2.451458119025275e-16
43,11.51997375785922,27.03994751571844,4.704446442543933,1.5828099866031158
44,13.844647861933694,31.68929572386739,16.790651596224418,1.6048412483414247
45,21.875593916916614,47.75118783383323,1.7518875776017808,0.21137591905758613
46,3.9057939357626577,11.811587871525315,8.964754706194508e-08,18327036.473994456
47,4.449945550551712,12.899891101103425,141.45059774709668,3.433987184505283
48,17.86539119854769,39.73078239709538,2.2541830000436454,0.7991880807921017
49,-0.0,4.0,2.6857004852183,72.37390439165243
50,4.449945550551719,12.899891101103439,267.76974077963627,3.4339871798368327
51,21.93005463284666,47.86010926569332,283.0998949413517,0.2513144327452378
52,12.056645160205974,28.11329032041195,276.47284034234764,1.9459101583387195
53,21.56587162665147,47.13174325330294,7.490484154248974e-08,2453539.0480838455
54,-0.0,4.0,2.6857004852183,72.37390439165243
55,19.506827782277878,43.013655564555755,0.833330892638437,0.8186375117009658
56,16.341333614225626,36.68266722845125,2.0159678505868815e-07,3068452.3425600044
57,4.15745446905897,12.31490893811794,1.668443595011695,2.498387477730924
58,9.911855078171634,23.823710156343267,20.014830987672557,2.1784301858971924
59,22.17712890968809,48.35425781937618,1.069493906437063,0.03191866337846769
60,5.243941829769657,14.487883659539314,0.13476943884962522,12.908768758672377
61,9.472779854673405,22.94555970934681,5.970975500151324,1.8233443426404787
62,6.280733491009094,16.56146698201819,2.064309161998184,2.4525548539337976
63,12.056645160205973,28.113290320411945,155.226494197512,1.9459101599071138
64,19.520014388268855,43.04002877653771,1.7332754786566893,0.6108973149890844
65,14.62610763959878,33.25221527919756,4.8558635622433615,1.2017070933880063
66,22.180709777918246,48.36141955583649,168.56375191252613,2.640999322187684e-14
67,3.3025073781796923,10.605014756359385,8.24202198901531e-08,16376458.245062903
68,20.591729696617286,45.18345939323457,303.5466208220803,0.6466271734341683
69,12.056645160205973,28.113290320411945,295.95440011582275,1.9459101491424666
70,12.056645160205974,28.11329032041195,73.10887242106848,1.9459101399161474
71,16.78296791554119,37.56593583108238,11.489117538355918,1.212111147099668
72,7.481333078606693,18.962666157213384,150.70774233008765,2.708050212262652
73,4.081289875723229,12.162579751446458,1.7638220770934603,2.881690941370206
74,7.051443755086002,18.102887510172003,1.7586271368382202e-07,4756695.135919664
75,3.7696660584969104,11.53933211699382,1.5557482715415435e-07,13427499.589466706
76,22.180709777918246,48.36141955583649,1e-10,4.786225828017442e-06
77,-0.0,4.0,2.6857004852183,72.37390439165243
78,4.3978942288341525,12.795788457668305,16.5577886721206,3.2878515870203895
79,5.732704352106964,15.465408704213928,7.619466790418059e-08,14382756.458846597
80,21.459977875082018,46.919955750164036,6.545434553535118,0.40239144064171617
81,20.492323691631533,44.984647383263066,5.635424425028689,0.5288403214481231
82,22.180709777918246,48.36141955583649,2.732940332771486e+29,2.451458119025275e-16
83,22.11753412276252,48.23506824552504,25.67935238112564,0.12705013916762042
84,20.275934149827837,44.55186829965567,2.656509188680667,0.6512669895983944
85,11.595105378398372,27.190210756796745,5.401602697056409,1.6334701856797627
86,3.322682090101405,10.64536418020281,3.274856920737101,2.1906957651315615
87,22.180709777918246,48.36141955583649,2.732940332771486e+29,2.451458119025275e-16
88,20.591729696617286,45.18345939323457,137.1503585819995,0.6466271690183782
89,20.21420626841637,44.42841253683274,3.085210434817411,0.5213177802199629
90,10.457298117399851,24.914596234799703,8.772657019936379e-08,8918209.27542097
91,7.223744016626136,18.44748803325227,12.53687396162365,2.400540837523412
92,9.655740272286936,23.31148054457387,1.3940456186625328e-07,10162855.372842563
93,9.49624943100646,22.99249886201292,4.742461179257786,1.6123651308664795
94,11.761511575406903,27.523023150813806,0.8753847636264377,2.9448749801341223
95,4.142624185236142,12.285248370472283,10.266600536124253,2.7536160944384616
96,22.180709777918246,48.36141955583649,1187734.5389721459,2.451458119025275e-16
97,-0.0,4.0,2.6857004852183,72.37390439165243
98,7.3736718225611995,18.7473436451224,13.259282812753337,2.302354168726013
99,13.26892481088855,30.5378496217771,1.684636661407545,1.3352797958217457
100,20.292769185718154,44.58553837143631,1.0963215938041424,0.945623329306609
101,-0.0,4.0,2.15235084006094,24.591167663613298
